Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
MCL1-DG	0.09999999999999432	50.0	100.0	100	18.181818181818183	0.001
MCL1-DH	0.09999999999999432	49.0	100.0	100	9.090909090909092	0.001
MCL1-DI	0.09999999999999432	50.0	100.0	100	9.090909090909092	0.001
MCL1-DJ	0.20000000000000284	50.0	100.0	100	9.090909090909092	0.001
MCL1-DK	0.0	50.0	100.0	100	18.181818181818183	0.001
MCL1-DL	0.20000000000000284	50.0	100.0	100	9.090909090909092	0.001
MCL1-LA	0.20000000000000284	50.0	100.0	100	9.090909090909092	0.001
MCL1-LB	0.20000000000000284	50.0	100.0	100	9.090909090909092	0.001
MCL1-LC	1.2999999999999972	49.0	100.0	100	9.090909090909092	0.001
MCL1-LD	0.5	48.0	100.0	100	9.090909090909092	0.001
MCL1-LE	3.299999999999997	48.0	100.0	100	18.181818181818183	0.001
MCL1-LF	1.7999999999999972	48.0	100.0	100	9.090909090909092	0.001
